country,price,rating,size_of_site,total_pitches,caravns,sea,lake,river,mountain,Height,next_city,transport
Netherlands,32.0,4.5,23,200.0,Not available,,On,,No,,15,3
Netherlands,22.0,4.5,2,45.0,Not available,25,On,,No,,10,On
Netherlands,20.0,4.5,0.5,25.0,,,2,,No,,20,1
Netherlands,26.0,4.5,,185.0,,35,1,,No,,10,0.1
Netherlands,19.0,4.5,,60.0,,,,,,,,
Netherlands,25.0,4.5,10,200.0,Not available,,3,On site,No,,10,2
Netherlands,28.0,4.5,2,25.0,Available,30,20,50 km,No,,30,10
Netherlands,22.0,4.5,,257.0,,,1,,No,,5,5
Netherlands,18.0,4.5,,195.0,Not available,,,,No,,13,0.15
Netherlands,22.0,4.5,,,,,,,No,,,0.5
Netherlands,27.0,4.5,,,,,,,No,,,On
Netherlands,27.0,4.5,2.5,27.0,Not available,0.5,,,No,,8,1.6
Portugal,18.0,4.5,,,,,,On site,No,,,4
Sweden,25.0,4.5,,,,,,On site,No,,,
Sweden,16.0,4.5,3,48.0,,,On,,No,,35,1
Sweden,16.0,4.5,3,48.0,,,On,,No,,35,1
Ireland,23.0,4.5,7,60.0,,25,On,On site,,,On,On
Belgium,16.0,4.5,,,,,,On site,No,,,On
Belgium,20.0,4.5,,,,,,On site,No,,,
Germany,16.0,4.5,2,20.0,Not available,,15,3 km,No,527.0,4,1.5
Germany,27.0,4.5,4,24.0,Available,,3,3 km,No,,10,0.1
Germany,22.0,4.5,3,150.0,Not available,,,,No,403.0,On,0.3
Luxembourg,26.0,4.5,4,200.0,Not available,,,On site,,190.0,3,0.3
Luxembourg,18.0,4.5,,,,,,On site,No,,,On
Norway,27.0,4.5,0.2,100.0,,,,On site,No,,120,0.1
Norway,25.0,4.5,8,40.0,Not available,,,On site,Yes,500.0,160,4
Spain,25.0,4.5,2,100.0,Not available,,10,On site,Yes,,14,5
Spain,23.0,4.5,,50.0,,,,,,,,
Spain,31.0,4.5,30,250.0,Not available,On,,,No,,12,0.1
Switzerland,45.0,4.5,,100.0,Not available,,,On site,No,404.0,2,0.8
Italy,24.0,4.5,,,,0.6,,,No,,,On
Austria,32.0,4.5,,90.0,,,,,,,,
France,20.0,4.5,40,325.0,Not available,15,,On site,,,10,10
France,25.0,4.5,7.5,232.0,Not available,On,,,No,,3,On
Italy,54.0,4.5,,,,On,,,,2.0,5,
Switzerland,34.0,4.5,,130.0,,,4,On site,Yes,,20,0.1
France,18.0,4.5,,,,,,,No,,,On
Germany,18.0,4.5,1,55.0,Not available,,0.1,,No,,8,1
Norway,20.0,4.5,10,16.0,,,,,,,,
Netherlands,14.0,4.5,1,15.0,Not available,15,3,,,,15,1
Portugal,13.0,4.5,4,,,60,,On site,Yes,,10,1
Italy,27.0,4.5,5.5,12.0,,35,,,Yes,300.0,6,6
Croatia,25.0,4.5,0.3,25.0,Not available,0.05,30,30 km,,,5,1
Albania,10.0,4.5,,20.0,Available,25,4,1 km,Yes,790.0,1,2
Hungary,22.0,4.5,1.5,8.0,,,1.6,,,415.0,22,1.6
Italy,31.0,4.5,,,,,0.3,,,,,On
Spain,19.0,4.5,,20.0,,,,,,,,
Italy,31.0,4.5,,,,,0.3,,,,,On
Spain,19.0,4.5,,20.0,,,,,,,,
Slovenia,29.0,4.5,3,40.0,,50,15,1 km,,,1.5,1.5
Romania,16.0,4.5,1,20.0,,650,10,7 km,Yes,510.0,17,0.5
Portugal,23.0,4.5,15,,Available,100,,2 km,Yes,,10,10
Netherlands,16.0,4.5,,11.0,Not available,,,,No,,10,2
Portugal,18.0,4.5,,,,,,,No,,,0.5
Netherlands,19.0,4.5,1,20.0,Not available,6.5,6,,No,,10,1
Slovenia,32.0,4.5,0.4,40.0,Available,,3,10 km,,183.0,3.5,4
